"Date","Price (USD)","USD_IDR","Price (IDR)"
"1/3/2016",448.3,13922.5,6241456.75
"1/10/2016",385,13894.5,5349382.5
"1/17/2016",388.6,13850,5382110
"1/24/2016",377.8,13775,5204195
"1/31/2016",376.7,13625,5132537.5
"2/7/2016",390.1,13490,5262449
"2/14/2016",440.1,13495,5939149.5
"2/21/2016",431.3,13370,5766481
"2/28/2016",399,13135,5240865
"3/6/2016",410.4,13070,5363928
"3/13/2016",408.7,13117.5,5361122.25
"3/20/2016",416.5,13252.5,5519666.25
"3/27/2016",418.5,13160,5507460
"4/3/2016",418,13142.5,5493565
"4/10/2016",430,13175,5665250
"4/17/2016",450.1,13197.5,5940194.75
"4/24/2016",448.5,13185,5913472.5
"5/1/2016",458.5,13241.5,6071227.75
"5/8/2016",456.4,13317.5,6078107
"5/15/2016",443.6,13607.5,6036287
"5/22/2016",524.2,13583,7120208.6
"5/29/2016",572,13591.5,7774338
"6/5/2016",591.6,13297.5,7866801
"6/12/2016",753.8,13337.5,10053807.5
"6/19/2016",663.5,13380,8877630
"6/26/2016",698.1,13140,9173034
"7/3/2016",651.8,13127.5,8556504.5
"7/10/2016",660.7,13091.5,8649554.05
"7/17/2016",655.2,13108.5,8588689.2
"7/24/2016",654.7,13098.5,8575587.95
"7/31/2016",586.5,13128.5,7699865.25
"8/7/2016",584.6,13121,7670536.6
"8/14/2016",582.6,13157.5,7665559.5
"8/21/2016",570.3,13206,7531381.8
"8/28/2016",598.8,13247,7932303.6
"9/4/2016",624.5,13099.5,8180637.75
"9/11/2016",607.1,13157.5,7987918.25
"9/18/2016",602.6,13076.5,7879898.9
"9/25/2016",613.4,13051,8005483.4
"10/2/2016",617.7,12985,8020834.5
"10/9/2016",637,13044.5,8309346.5
"10/16/2016",655.5,13045,8550997.5
"10/23/2016",715,13050.5,9331107.5
"10/30/2016",702.1,13070,9176447
"11/6/2016",704.3,13287.5,9358386.25
"11/13/2016",747.9,13427.5,10042427.25
"11/20/2016",734.1,13517.5,9923196.75
"11/27/2016",764.2,13525,10335805
"12/4/2016",774,13327.5,10315485
"12/11/2016",787.2,13390,10540608
"12/18/2016",891.1,13450,11985295
"12/25/2016",963.4,13472.5,12979406.5
"1/1/2017",888.9,13365,11880148.5
"1/8/2017",819.6,13331.5,10926497.4
"1/15/2017",919.8,13410,12334518
"1/22/2017",918.5,13358.5,12269782.25
"1/29/2017",1031.8,13345,13769371
"2/5/2017",1008.3,13315.5,13426018.65
"2/12/2017",1052.3,13332.5,14029789.75
"2/19/2017",1149.1,13330.5,15318077.55
"2/26/2017",1264.3,13382.5,16919494.75
"3/5/2017",1179.2,13379,15776516.8
"3/12/2017",971.4,13345,12963333
"3/19/2017",966.3,13326.5,12877396.95
"3/26/2017",1086.1,13323,14470110.3
"4/2/2017",1180.8,13315,15722352
"4/9/2017",1177,13255,15601135
"4/16/2017",1240.9,13316,16523824.4
"4/23/2017",1336.3,13327,17808870.1
"4/30/2017",1545.3,13327,20594213.1
"5/7/2017",1763.7,13327,23504829.9
"5/14/2017",2040.2,13330,27195866
"5/21/2017",2052.4,13294,27284605.6
"5/28/2017",2545.4,13303,33861456.2
