Date,Price,Open,High,Low,Vol.,Change %
1/3/2016,"13,922.50","13,802.50","13,977.50","13,782.50",,0.98%
1/10/2016,"13,894.50","13,914.50","13,964.50","13,809.50",,-0.20%
1/17/2016,"13,850.00","13,905.00","13,960.00","13,844.00",,-0.32%
1/24/2016,"13,775.00","13,815.00","13,925.00","13,755.00",,-0.54%
1/31/2016,"13,625.00","13,755.00","13,825.00","13,575.00",,-1.09%
2/7/2016,"13,490.00","13,665.00","13,715.00","13,330.00",,-0.99%
2/14/2016,"13,495.00","13,460.00","13,565.00","13,295.00",,0.04%
2/21/2016,"13,370.00","13,485.00","13,493.00","13,360.00",,-0.93%
2/28/2016,"13,135.00","13,380.00","13,410.00","13,110.00",,-1.76%
3/6/2016,"13,070.00","13,005.00","13,165.00","12,955.00",,-0.49%
3/13/2016,"13,117.50","12,972.50","13,282.50","12,972.50",,0.36%
3/20/2016,"13,252.50","13,122.50","13,262.50","13,122.50",,1.03%
3/27/2016,"13,160.00","13,280.00","13,435.00","13,155.00",,-0.70%
4/3/2016,"13,142.50","13,122.50","13,232.50","13,122.50",,-0.13%
4/10/2016,"13,175.00","13,105.00","13,250.00","13,085.00",,0.25%
4/17/2016,"13,197.50","13,182.50","13,217.50","13,102.50",,0.17%
4/24/2016,"13,185.00","13,205.00","13,245.00","13,118.00",,-0.09%
5/1/2016,"13,241.50","13,171.50","13,251.50","13,131.50",,0.43%
5/8/2016,"13,317.50","13,302.50","13,337.50","13,252.50",,0.57%
5/15/2016,"13,607.50","13,317.50","13,652.50","13,266.50",,2.18%
5/22/2016,"13,583.00","13,587.00","13,692.00","13,557.00",,-0.18%
5/29/2016,"13,591.50","13,606.50","13,699.50","13,586.50",,0.06%
6/5/2016,"13,297.50","13,502.50","13,502.50","13,202.50",,-2.16%
6/12/2016,"13,337.50","13,327.50","13,417.50","13,257.50",,0.30%
6/19/2016,"13,380.00","13,285.00","13,435.00","13,244.00",,0.32%
6/26/2016,"13,140.00","13,385.00","13,520.00","13,125.00",,-1.79%
7/3/2016,"13,127.50","13,127.50","13,127.50","13,127.50",,-0.10%
